,feature,class_label
10,"[ 1.4785648e-08  0.0000000e+00 -7.3928241e-09 -9.8570991e-09
 -2.4642748e-09 -4.9285496e-09  0.0000000e+00  0.0000000e+00
 -1.2321373e-08 -4.9285496e-09  0.0000000e+00  2.4642748e-09
 -4.9285496e-09  4.9285496e-09  1.4785648e-08  4.9285496e-09
  4.9285496e-09  0.0000000e+00 -2.4642748e-09 -9.8570991e-09
  0.0000000e+00  0.0000000e+00  7.3785249e-09  9.8380326e-09
 -9.8380326e-09 -4.9190163e-09 -4.9190163e-09 -4.9190163e-09
  0.0000000e+00  0.0000000e+00  0.0000000e+00  9.8380326e-09
 -7.3785249e-09  4.9190163e-09  7.3785249e-09  9.8380326e-09
  1.2297541e-08  4.9190163e-09 -9.8380326e-09  1.4757050e-08]",resposta
11,"[-4.9285496e-09 -4.9285496e-09  1.4785648e-08  0.0000000e+00
  0.0000000e+00  9.8570991e-09  0.0000000e+00  0.0000000e+00
 -1.4785648e-08 -9.8570991e-09 -7.3928241e-09  2.4642748e-09
  0.0000000e+00  0.0000000e+00 -7.3928241e-09 -9.8570991e-09
  3.6964121e-09  0.0000000e+00 -7.3928241e-09  0.0000000e+00
 -9.8570991e-09 -1.8482060e-09  0.0000000e+00  4.9285496e-09
 -4.9285496e-09 -7.3928241e-09  0.0000000e+00  9.8570991e-09
  1.7249922e-08 -1.4785648e-08  0.0000000e+00  0.0000000e+00
  9.8570991e-09 -4.9285496e-09  0.0000000e+00  2.4642748e-09
 -9.8570991e-09 -4.9285496e-09 -9.8570991e-09  9.8570991e-09]",resposta
12,"[ 0.0000000e+00 -9.8698507e-09 -4.9349254e-09  9.8698507e-09
 -6.1686567e-09 -6.1686567e-09 -4.9349254e-09 -9.8698507e-09
 -1.9739701e-08  0.0000000e+00 -1.9739701e-08  2.4674627e-09
 -9.8698507e-09 -4.9349254e-09  9.8698507e-09  1.2337313e-08
  0.0000000e+00  0.0000000e+00  0.0000000e+00  4.9349254e-09
 -9.8698507e-09  0.0000000e+00 -4.3180597e-09  0.0000000e+00
 -9.8698507e-09  4.9349254e-09  1.4804776e-08 -7.4023880e-09
  1.0795149e-08 -1.4804776e-08  4.9349254e-09 -2.4674627e-09
 -4.9349254e-09  2.4674627e-09  9.8698507e-09 -2.4674627e-09
 -1.4804776e-08  0.0000000e+00  1.2337313e-08  2.4674627e-09]",resposta
13,"[-9.8698507e-09 -3.7011940e-09  2.4674627e-09  0.0000000e+00
  0.0000000e+00  0.0000000e+00 -1.9739701e-08  1.6038507e-08
  0.0000000e+00  0.0000000e+00 -9.8698507e-09 -7.4023880e-09
  0.0000000e+00  9.8698507e-09 -4.9349254e-09  8.6361194e-09
  9.8698507e-09  9.8698507e-09  0.0000000e+00  2.4674627e-09
  0.0000000e+00  5.5553842e-09 -1.0493504e-08 -4.9381192e-09
  0.0000000e+00 -6.1726495e-09  0.0000000e+00 -1.1110768e-08
  0.0000000e+00  9.8762385e-09 -2.9628717e-08  4.9381192e-09
  0.0000000e+00 -4.9381192e-09  1.4814359e-08 -2.4690596e-09
 -4.9381192e-09 -7.4071793e-09 -7.4071793e-09  1.4814359e-08]",resposta
14,"[ 1.4804776e-08  0.0000000e+00  9.8698507e-09 -9.8698507e-09
 -1.4804776e-08  0.0000000e+00  2.4674627e-09 -1.2337313e-08
  1.9739701e-08 -4.9349254e-09 -1.4804776e-08  9.8698507e-09
 -4.9349254e-09 -2.4674627e-09  9.8698507e-09  0.0000000e+00
 -4.9349254e-09 -9.8698507e-09  0.0000000e+00 -4.9349254e-09
 -4.9349254e-09  0.0000000e+00 -9.8698507e-09  4.9349254e-09
  0.0000000e+00  2.4674627e-09  1.4804776e-08  7.4023880e-09
  9.8698507e-09  3.7011940e-09 -4.9349254e-09  0.0000000e+00
  8.6361194e-09  7.4023880e-09  0.0000000e+00 -9.8698507e-09
 -7.4023880e-09  0.0000000e+00  4.9349254e-09 -1.2337313e-08]",resposta
15,"[ 2.4642748e-09  1.4785648e-08  9.8570991e-09 -4.9285496e-09
 -9.8570991e-09  0.0000000e+00  0.0000000e+00  0.0000000e+00
 -3.6964121e-09  8.6249612e-09  4.9285496e-09 -2.4642748e-09
  0.0000000e+00  1.4785648e-08 -6.1606866e-09 -4.9285496e-09
 -9.8570991e-09  0.0000000e+00 -4.9285496e-09 -4.9285496e-09
 -4.9190163e-09  0.0000000e+00  2.4595082e-09 -4.9190163e-09
  4.9190163e-09  9.8380326e-09  9.8380326e-09  0.0000000e+00
  0.0000000e+00  4.9190163e-09  0.0000000e+00  4.9190163e-09
  0.0000000e+00  4.9190163e-09 -4.9190163e-09  0.0000000e+00
  9.8380326e-09  0.0000000e+00 -4.9190163e-09  1.4757050e-08]",resposta
16,"[ 0.0000000e+00  4.9285496e-09  9.8570991e-09  9.8570991e-09
  0.0000000e+00  6.1606866e-09  0.0000000e+00  7.3928241e-09
 -1.4785648e-08 -9.8570991e-09 -4.9285496e-09  9.8570991e-09
  9.8570991e-09 -4.9285496e-09 -1.4785648e-08  0.0000000e+00
  1.9714198e-08  0.0000000e+00 -4.9285496e-09  9.8570991e-09
 -9.8698507e-09  0.0000000e+00  0.0000000e+00  2.9609552e-08
  9.8698507e-09  1.2337313e-08  9.8698507e-09 -9.8698507e-09
 -9.8698507e-09 -4.9349254e-09  0.0000000e+00 -4.9349254e-09
  2.4674627e-09  8.6361194e-09 -1.2337313e-09 -9.8698507e-09
 -1.8505970e-09  5.5517910e-09 -4.9349254e-09  0.0000000e+00]",ataque
17,"[ 4.9349254e-09  4.9349254e-09 -4.9349254e-09 -9.8698507e-09
  4.9349254e-09  0.0000000e+00  0.0000000e+00  3.7011940e-09
 -9.8698507e-09 -2.4674627e-09  1.7272239e-08  9.8698507e-09
  4.9349254e-09  0.0000000e+00  1.4804776e-08  0.0000000e+00
  0.0000000e+00 -4.9349254e-09  1.2337313e-08 -2.4674627e-09
 -7.4023880e-09  9.8698507e-09  0.0000000e+00  9.8698507e-09
  1.9739701e-08  9.8698507e-09  1.2337313e-08  0.0000000e+00
 -1.8505970e-09 -8.6361194e-09 -4.9349254e-09  1.2954179e-08
  7.4023880e-09  0.0000000e+00  7.4023880e-09  9.8698507e-09
 -4.9349254e-09  4.9349254e-09 -9.8698507e-09  1.3571045e-08]",resposta
18,"[ 2.4674627e-09 -9.8698507e-09 -2.4674627e-09 -4.9349254e-09
 -9.8698507e-09  2.4674627e-09 -9.8698507e-09 -9.8698507e-09
  9.8698507e-09  9.8698507e-09  0.0000000e+00  3.9479403e-08
  1.4804776e-08 -9.8698507e-09  0.0000000e+00 -9.8698507e-09
  4.9349254e-09  3.7011940e-09 -9.8698507e-09  0.0000000e+00
 -9.8698507e-09  9.8698507e-09  2.4674627e-09  4.9349254e-09
  4.9349254e-09  0.0000000e+00 -1.2337313e-08 -4.9349254e-09
  4.9349254e-09 -1.2337313e-08  0.0000000e+00 -9.8698507e-09
 -4.9349254e-09  4.9349254e-09  2.4674627e-09 -1.2337313e-09
 -1.2337313e-08  4.9349254e-09  4.9349254e-09 -7.4023880e-09]",resposta
19,"[-1.4804776e-08 -6.1686567e-09 -9.8698507e-09  7.4023880e-09
 -1.4804776e-08 -2.4674627e-09 -2.4674627e-09 -2.4674627e-09
  1.9739701e-08  4.9349254e-09  4.9349254e-09  2.4674627e-09
  7.4023880e-09  7.4023880e-09  4.9349254e-09 -2.4674627e-09
  4.9349254e-09  4.9349254e-09 -7.4023880e-09 -9.8698507e-09
  1.4804776e-08 -1.7272239e-08  9.8698507e-09  1.4804776e-08
 -4.9349254e-09 -1.4804776e-08  1.4804776e-08 -9.8698507e-09
  0.0000000e+00  4.9349254e-09 -2.4674627e-09  0.0000000e+00
  9.8698507e-09 -9.8698507e-09  0.0000000e+00  0.0000000e+00
  4.9349254e-09 -1.2337313e-08  9.8698507e-09 -4.9349254e-09]",resposta
20,"[ 0.0000000e+00 -9.8698507e-09 -1.3879477e-08  2.4674627e-09
  0.0000000e+00  1.2337313e-09  1.9739701e-08  4.9349254e-09
  0.0000000e+00 -4.9349254e-09  0.0000000e+00  9.8698507e-09
  2.4674627e-09 -9.8698507e-09  0.0000000e+00  4.9349254e-09
  9.8698507e-09  2.4674627e-09  0.0000000e+00  0.0000000e+00
 -9.8698507e-09  2.4674627e-09  4.9349254e-09 -9.8698507e-09
  7.4023880e-09  4.9349254e-09 -9.8698507e-09 -9.8698507e-09
  0.0000000e+00  2.4674627e-09 -4.9349254e-09  0.0000000e+00
 -9.8698507e-09  4.9349254e-09  1.2337313e-08  0.0000000e+00
 -4.9349254e-09 -3.7011940e-09  9.8698507e-09  1.1720448e-08]",ataque
21,"[ 4.9349254e-09 -4.9349254e-09  0.0000000e+00  2.4674627e-09
 -9.8698507e-09  9.8698507e-09  6.4770895e-09 -6.1686567e-09
 -2.4674627e-09  1.2337313e-09 -4.9349254e-09  9.8698507e-09
 -4.9349254e-09  0.0000000e+00  4.9349254e-09 -1.8505970e-09
  7.4023880e-09 -1.2337313e-09  0.0000000e+00  4.9349254e-09
 -4.9349254e-09  4.9349254e-09  0.0000000e+00 -9.8698507e-09
  0.0000000e+00  0.0000000e+00  1.2337313e-08  0.0000000e+00
  1.4804776e-08 -4.9349254e-09 -4.9349254e-09  1.2337313e-08
  9.8698507e-09 -4.9349254e-09  4.9349254e-09 -7.4023880e-09
  4.9349254e-09  4.9349254e-09  2.4674627e-09  1.0486716e-08]",resposta
22,"[ 4.9349254e-09  0.0000000e+00  1.2337313e-08  3.7011940e-09
 -3.7011940e-09  3.7011940e-09 -9.8698507e-09  1.2337313e-09
  0.0000000e+00  0.0000000e+00 -4.9349254e-09 -3.7011940e-09
  0.0000000e+00  1.4804776e-08  0.0000000e+00  0.0000000e+00
  7.4023880e-09 -9.8698507e-09 -7.4023880e-09  7.4023880e-09
  0.0000000e+00  4.9253677e-09  9.8507353e-09  0.0000000e+00
  7.3880515e-09  0.0000000e+00  4.9253677e-09 -1.4776103e-08
 -6.1567098e-09 -9.8507353e-09  1.9701471e-08  0.0000000e+00
  2.4626838e-09  0.0000000e+00 -4.9253677e-09  0.0000000e+00
  4.9253677e-09  0.0000000e+00  0.0000000e+00 -4.9253677e-09]",ataque
23,"[ 0.0000000e+00 -9.8507353e-09  0.0000000e+00 -4.9253677e-09
 -4.9253677e-09  4.9253677e-09  0.0000000e+00  4.9253677e-09
 -9.8507353e-09 -4.9253677e-09  4.9253677e-09 -4.9253677e-09
  9.8507353e-09  4.9253677e-09  9.8507353e-09  0.0000000e+00
 -9.8507353e-09 -9.8507353e-09 -4.9253677e-09  9.8507353e-09
 -2.4690596e-09  1.2345298e-09  0.0000000e+00 -4.9381192e-09
  1.4814359e-08  0.0000000e+00  2.4690596e-09  0.0000000e+00
  1.9752477e-08  4.9381192e-09  4.9381192e-09  9.8762385e-09
  7.4071793e-09  0.0000000e+00  4.9381192e-09  0.0000000e+00
 -1.0493504e-08 -6.1726495e-09  0.0000000e+00  1.2345299e-08]",ataque
24,"[-9.8698507e-09  4.9349254e-09  0.0000000e+00  4.9349254e-09
 -7.4023880e-09 -1.4804776e-08  4.9349254e-09  2.4674627e-09
 -2.4674627e-09 -4.9349254e-09  0.0000000e+00  0.0000000e+00
 -4.9349254e-09  4.9349254e-09  9.8698507e-09 -7.4023880e-09
  1.2337313e-08  9.8698507e-09  7.4023880e-09  0.0000000e+00
  2.4658677e-09  1.9726942e-08 -2.4658677e-09 -2.4658677e-09
  0.0000000e+00  9.8634709e-09  0.0000000e+00  9.8634709e-09
  0.0000000e+00  1.2329339e-09 -9.8634709e-09  9.8634709e-09
  0.0000000e+00  9.8634709e-09 -4.9317355e-09 -1.9726942e-08
  7.3976030e-09  1.4795206e-08  9.8634709e-09 -9.8634709e-09]",ataque
25,"[ 0.0000000e+00  2.4674627e-09  9.8698507e-09  9.8698507e-09
  9.8698507e-09 -1.3571045e-08 -4.9349254e-09 -7.4023880e-09
  0.0000000e+00  2.4674627e-09  9.8698507e-09  0.0000000e+00
  1.4804776e-08 -6.1686567e-09  4.9349254e-09 -9.8698507e-09
 -2.4674627e-09  2.4674627e-09  3.7011940e-09  0.0000000e+00
  0.0000000e+00 -1.4785648e-08 -9.8570991e-09  7.3928241e-09
  9.8570991e-09  9.8570991e-09 -9.8570991e-09 -4.9285496e-09
  0.0000000e+00  0.0000000e+00  4.9285496e-09  7.3928241e-09
  6.1606866e-09  7.3928241e-09 -4.9285496e-09  0.0000000e+00
  4.9285496e-09  7.3928241e-09 -4.9285496e-09 -4.9285496e-09]",resposta
26,"[ 9.8698507e-09 -9.8698507e-09  0.0000000e+00 -2.4674627e-09
 -7.4023880e-09  1.4804776e-08  0.0000000e+00  4.9349254e-09
  0.0000000e+00  9.8698507e-09  9.8698507e-09 -8.6361194e-09
  0.0000000e+00 -7.4023880e-09  2.4674627e-09  0.0000000e+00
  0.0000000e+00  9.8698507e-09  9.8698507e-09  2.4674627e-09
  0.0000000e+00  1.4804776e-08 -9.8698507e-09  7.4023880e-09
  1.4804776e-08 -9.8698507e-09 -2.4674627e-09  9.8698507e-09
 -1.4804776e-08  9.8698507e-09  4.9349254e-09 -6.1686567e-09
 -9.8698507e-09  9.8698507e-09 -4.9349254e-09  2.4674627e-09
  0.0000000e+00  9.8698507e-09 -2.4674627e-09  7.4023880e-09]",ataque
27,"[-9.9083044e-09  1.4862457e-08 -2.4770761e-09 -6.1926904e-09
 -3.0963452e-09  9.9083044e-09 -9.9083044e-09 -1.4862457e-08
  4.9541522e-09  0.0000000e+00 -7.4312285e-09 -3.7156143e-09
 -4.9541522e-09 -8.6697662e-09  2.9724914e-08 -4.9541522e-09
  0.0000000e+00  0.0000000e+00  0.0000000e+00 -2.4770761e-09
  1.9739701e-08 -2.4674627e-09  1.7889104e-08  1.9739701e-08
 -2.4674627e-09 -7.4023880e-09  0.0000000e+00 -9.8698507e-09
 -1.4804776e-08  0.0000000e+00  1.2337313e-09  4.9349254e-09
  4.9349254e-09  0.0000000e+00  9.8698507e-09  1.1103582e-08
  2.4674627e-09  9.8698507e-09  4.9349254e-09 -9.8698507e-09]",ataque
28,"[ 0.0000000e+00 -1.4757050e-08  4.9190163e-09  0.0000000e+00
 -1.4757050e-08  0.0000000e+00  0.0000000e+00 -1.4757050e-08
 -4.9190163e-09  7.3785249e-09 -9.8380326e-09  9.8380326e-09
 -9.8380326e-09  9.8380326e-09  4.9190163e-09  9.8380326e-09
  4.9190163e-09  0.0000000e+00 -6.1487704e-09 -1.4757050e-08
  1.4243188e-08  7.4312285e-09 -9.9083044e-09  0.0000000e+00
  0.0000000e+00  0.0000000e+00  4.9541522e-09  4.9541522e-09
  3.7156143e-09  4.9541522e-09  4.9541522e-09  7.4312285e-09
  9.9083044e-09  1.4862457e-08  0.0000000e+00 -9.9083044e-09
 -1.2385381e-08  8.6697662e-09 -4.9541522e-09  4.9541522e-09]",resposta
29,"[-9.8954533e-09  1.2369317e-08  4.9477267e-09  0.0000000e+00
 -9.8954533e-09  0.0000000e+00 -9.8954533e-09  9.8954533e-09
  9.8954533e-09  0.0000000e+00  1.9790907e-08 -2.4738633e-09
  0.0000000e+00  6.1846586e-09 -1.6080111e-08 -9.8954533e-09
  9.8954533e-09  9.8954533e-09  0.0000000e+00 -7.4215900e-09
  9.8507353e-09 -4.9253677e-09  1.3544761e-08 -9.8507353e-09
  0.0000000e+00  0.0000000e+00  9.8507353e-09  0.0000000e+00
  2.4626838e-09 -9.8507353e-09  1.2313420e-08 -7.3880515e-09
 -9.8507353e-09 -9.8507353e-09  4.9253677e-09 -8.6193932e-09
 -2.4626838e-09  9.8507353e-09  9.8507353e-09  2.4626838e-09]",ataque
30,"[ 9.8380326e-09  2.4595082e-09 -4.9190163e-09  0.0000000e+00
 -1.1067787e-08  9.8380326e-09 -1.4757050e-08 -4.9190163e-09
  0.0000000e+00  9.8380326e-09  0.0000000e+00 -1.4757050e-08
  0.0000000e+00  1.4757050e-08  0.0000000e+00  0.0000000e+00
  2.4595082e-09  1.8446312e-09 -7.3785249e-09 -4.9190163e-09
 -4.9221902e-09  0.0000000e+00  0.0000000e+00  0.0000000e+00
  9.8443804e-09  9.8443804e-09  0.0000000e+00  0.0000000e+00
 -1.9688761e-08 -9.8443804e-09  2.4610951e-09 -4.9221902e-09
 -4.9221902e-09 -9.8443804e-09 -1.9688761e-08  0.0000000e+00
 -4.9221902e-09  9.8443804e-09  9.8443804e-09 -4.9221902e-09]",resposta
31,"[-9.8443804e-09 -4.9221902e-09  1.4766570e-08 -7.3832851e-09
  0.0000000e+00  9.8443804e-09  2.4610951e-09  1.7227665e-08
  0.0000000e+00 -4.9221902e-09  0.0000000e+00 -9.8443804e-09
  9.8443804e-09  0.0000000e+00 -4.9221902e-09 -9.8443804e-09
  7.3832851e-09  0.0000000e+00 -9.8443804e-09 -1.4766570e-08
  0.0000000e+00  9.8380326e-09 -1.9676065e-08  1.9676065e-08
  0.0000000e+00 -9.8380326e-09 -9.8380326e-09  9.8380326e-09
 -7.3785249e-09  3.6892625e-09 -9.8380326e-09 -2.4595082e-09
  0.0000000e+00  0.0000000e+00  0.0000000e+00 -1.2297541e-08
 -4.9190163e-09  0.0000000e+00 -7.3785249e-09 -1.3527295e-08]",ataque
32,"[-9.8698507e-09 -9.2529850e-09  0.0000000e+00  6.1686567e-09
 -9.8698507e-09  0.0000000e+00 -4.9349254e-09  4.9349254e-09
 -7.4023880e-09  4.9349254e-09  0.0000000e+00 -2.4674627e-09
  0.0000000e+00  0.0000000e+00 -9.8698507e-09  9.8698507e-09
 -9.8698507e-09  7.4023880e-09 -4.9349254e-09  0.0000000e+00
  0.0000000e+00  2.4674627e-09  8.6361194e-09  0.0000000e+00
 -1.4804776e-08  4.9349254e-09 -9.8698507e-09  0.0000000e+00
  1.4804776e-08 -4.9349254e-09  4.9349254e-09  9.8698507e-09
 -1.4804776e-08 -2.4674627e-09  4.9349254e-09 -4.9349254e-09
  2.9609552e-08 -6.1686567e-09  4.9349254e-09 -2.4674627e-09]",resposta
33,"[ 9.8698507e-09  0.0000000e+00  9.8698507e-09  1.4804776e-08
 -9.8698507e-09  1.2337313e-09 -7.4023880e-09 -9.8698507e-09
  0.0000000e+00  0.0000000e+00  4.9349254e-09 -3.7011940e-09
  9.8698507e-09 -1.4804776e-08  9.8698507e-09  9.8698507e-09
  1.4804776e-08 -9.8698507e-09  9.8698507e-09 -9.8698507e-09
 -1.9739701e-08  0.0000000e+00  6.1686567e-09  0.0000000e+00
  7.4023880e-09  2.4674627e-09  0.0000000e+00  1.4804776e-08
 -7.4023880e-09 -9.8698507e-09 -9.8698507e-09  0.0000000e+00
 -9.8698507e-09 -2.4674627e-09  9.8698507e-09  0.0000000e+00
 -4.9349254e-09  7.4023880e-09  4.3180597e-09  4.9349254e-09]",ataque
34,"[-7.3928241e-09 -4.9285496e-09  0.0000000e+00 -1.9714198e-08
  1.9714198e-08  0.0000000e+00  0.0000000e+00  9.8570991e-09
  1.9714198e-08 -4.9285496e-09  9.8570991e-09 -1.2321374e-09
  1.9714198e-08  0.0000000e+00  1.2321373e-08  0.0000000e+00
 -2.9571297e-08  0.0000000e+00  0.0000000e+00 -2.4642748e-09
  0.0000000e+00  3.7011940e-09  9.8698507e-09  4.9349254e-09
 -1.1103582e-08  2.4674627e-09  1.4804776e-08  0.0000000e+00
  1.4804776e-08  0.0000000e+00  1.2337313e-09  4.9349254e-09
  1.2337313e-08 -8.6361194e-09  4.9349254e-09 -9.8698507e-09
 -4.9349254e-09 -4.9349254e-09 -4.9349254e-09 -4.9349254e-09]",resposta
